RESP_DATE,GEOID10,DRRALL,DRRINT,CRRALL,CRRINT,county,tract,state,GEO_ID,UID
4/6/20 0:00,48209010816,1.2,1.1,58.4,58.3,Hays,108.16,Texas,1400000US48209010816,2020040648209010816
4/6/20 0:00,48209010818,0.9,0.9,49.2,49.1,Hays,108.18,Texas,1400000US48209010818,2020040648209010818
4/6/20 0:00,48209010905,1.1,1.1,46,45.8,Hays,109.05,Texas,1400000US48209010905,2020040648209010905
4/6/20 0:00,48209010911,1,1,62.6,62.4,Hays,109.11,Texas,1400000US48209010911,2020040648209010911
4/6/20 0:00,48209010912,0.8,0.8,51.4,51.3,Hays,109.12,Texas,1400000US48209010912,2020040648209010912
4/6/20 0:00,48209010914,1.6,1.6,59.6,59.2,Hays,109.14,Texas,1400000US48209010914,2020040648209010914
4/6/20 0:00,48209010915,1.1,1.1,55.3,55.2,Hays,109.15,Texas,1400000US48209010915,2020040648209010915
4/6/20 0:00,48209010917,0.7,0.7,48.9,48.7,Hays,109.17,Texas,1400000US48209010917,2020040648209010917
4/6/20 0:00,48209010918,0.9,0.9,49,48.9,Hays,109.18,Texas,1400000US48209010918,2020040648209010918
4/6/20 0:00,48209010920,0.7,0.7,31.6,31.4,Hays,109.2,Texas,1400000US48209010920,2020040648209010920
4/6/20 0:00,48209010921,0.8,0.8,28.2,27.5,Hays,109.21,Texas,1400000US48209010921,2020040648209010921
4/6/20 0:00,48209010923,0.9,0.9,40.4,40.2,Hays,109.23,Texas,1400000US48209010923,2020040648209010923
4/6/20 0:00,48209010924,0.6,0.6,51.7,51.2,Hays,109.24,Texas,1400000US48209010924,2020040648209010924
4/6/20 0:00,48491020339,1.1,1.1,32.5,32.5,Williamson,203.39,Texas,1400000US48491020339,2020040648491020339
4/6/20 0:00,48491020340,0.8,0.8,35.8,35.8,Williamson,203.4,Texas,1400000US48491020340,2020040648491020340
4/6/20 0:00,48491020342,1.5,1.5,45.6,45.5,Williamson,203.42,Texas,1400000US48491020342,2020040648491020342
4/6/20 0:00,48491020344,0.8,0.8,42.2,41.9,Williamson,203.44,Texas,1400000US48491020344,2020040648491020344
4/6/20 0:00,48491020345,1,1,54.1,54.1,Williamson,203.45,Texas,1400000US48491020345,2020040648491020345
4/6/20 0:00,48491020347,0.6,0.6,37.8,37.6,Williamson,203.47,Texas,1400000US48491020347,2020040648491020347
4/6/20 0:00,48491020348,0.5,0.5,38.9,38.7,Williamson,203.48,Texas,1400000US48491020348,2020040648491020348
4/6/20 0:00,48491020350,0.9,0.9,52.2,52.2,Williamson,203.5,Texas,1400000US48491020350,2020040648491020350
4/6/20 0:00,48491020352,1,1,46.4,46.3,Williamson,203.52,Texas,1400000US48491020352,2020040648491020352
4/6/20 0:00,48491020353,0.6,0.6,51.4,50.8,Williamson,203.53,Texas,1400000US48491020353,2020040648491020353
4/6/20 0:00,48491020355,1.7,1.7,50.9,50.9,Williamson,203.55,Texas,1400000US48491020355,2020040648491020355
4/6/20 0:00,48491020356,0.6,0.6,33.3,33.2,Williamson,203.56,Texas,1400000US48491020356,2020040648491020356
4/6/20 0:00,48491020404,0.7,0.7,59,58.9,Williamson,204.04,Texas,1400000US48491020404,2020040648491020404
